Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost
1,CA-1001,2025-09-18,2025-08-04,First Class,CUST-283,USA,Port Pennystad,Wyoming,59942,Other,South,P-014,Wonka Gum,675,15,445,230
2,CA-1002,2025-04-19,2025-07-13,First Class,CUST-105,USA,Meghanville,Maryland,06967,Sugar,East,P-008,Nerds,354,7,28,326
3,CA-1003,2025-04-12,2026-03-03,Second Class,CUST-191,USA,Wilkinsonburgh,Kentucky,82326,Chocolate,Central,P-004,Wonka Bar - Milk Chocolate,179,13,100,79
4,CA-1004,2025-12-13,2025-04-12,First Class,CUST-214,USA,Timothyton,Iowa,61077,Sugar,East,P-011,Everlasting Gobstopper,576,19,263,313
5,CA-1005,2025-10-21,2025-12-24,First Class,CUST-012,USA,Emilyborough,Maine,80018,Chocolate,East,P-001,Wonka Bar - Nutty Crunch Surprise,377,11,78,299
6,CA-1006,2025-07-31,2026-03-07,First Class,CUST-016,USA,Robertstown,Texas,51601,Sugar,South,P-008,Nerds,971,23,762,209
7,CA-1007,2025-07-13,2025-08-07,Standard Class,CUST-103,USA,Lake Cassandrafort,Maine,60538,Chocolate,West,P-002,Wonka Bar - Fudge Mallows,723,28,247,476
8,CA-1008,2025-11-24,2025-04-21,Standard Class,CUST-177,USA,New Katherine,New Mexico,14540,Other,South,P-013,Lickable Wallpaper,259,27,58,201
9,CA-1009,2025-10-05,2025-11-27,Standard Class,CUST-007,USA,South Davidburgh,Pennsylvania,75884,Chocolate,Central,P-003,Wonka Bar - Scrumdiddlyumptious,745,18,691,54
10,CA-1010,2026-03-23,2025-05-03,First Class,CUST-136,USA,East Sharon,New York,12624,Chocolate,South,P-004,Wonka Bar - Milk Chocolate,299,7,85,214
11,CA-1011,2025-09-27,2025-11-30,First Class,CUST-078,USA,West Patrickmouth,Vermont,27831,Sugar,South,P-012,Hair Toffee,582,11,296,286
12,CA-1012,2026-01-17,2025-05-08,Second Class,CUST-186,USA,Griffinberg,Oregon,61398,Other,West,P-015,Kazookles,424,23,327,97
13,CA-1013,2026-03-26,2025-08-03,Standard Class,CUST-209,USA,Brownland,South Carolina,14807,Sugar,Central,P-011,Everlasting Gobstopper,661,18,34,627
14,CA-1014,2025-11-04,2026-03-31,Standard Class,CUST-055,USA,Jenniferchester,Florida,28020,Sugar,West,P-012,Hair Toffee,944,21,599,345
15,CA-1015,2025-11-14,2025-07-30,First Class,CUST-088,USA,Jacobland,Arkansas,93974,Sugar,East,P-011,Everlasting Gobstopper,720,11,528,192
16,CA-1016,2026-03-21,2025-05-05,Standard Class,CUST-269,USA,Finleyville,Wyoming,56418,Chocolate,South,P-003,Wonka Bar - Scrumdiddlyumptious,973,9,919,54
17,CA-1017,2025-06-24,2025-12-03,Standard Class,CUST-123,USA,Walshton,Washington,86440,Chocolate,West,P-001,Wonka Bar - Nutty Crunch Surprise,253,9,112,141
